genome	domain	taxon_name
641736226	Bacteria	Escherichia coli O157:H7 EC508
641736227	Bacteria	Anaerostipes caccae DSM 14662
641736235	Bacteria	Bifidobacterium animalis lactis HN019
641736262	Bacteria	Listeria monocytogenes FSL J2-071
641736263	Bacteria	Listeria monocytogenes sv. 1/2b FSL J2-064
641736270	Bacteria	Clostridium sp. SS2/1
641736271	Bacteria	Anaerotruncus colihominis DSM 17241
642555104	Bacteria	Akkermansia muciniphila ATCC BAA-835
642555107	Bacteria	Bifidobacterium longum DJO10A
642555131	Bacteria	Helicobacter pylori Shi470
642555134	Bacteria	Lactobacillus casei casei BL23
642555135	Bacteria	Lactobacillus reuteri JCM 1112
642555148	Bacteria	Porphyromonas gingivalis ATCC 33277
642791604	Bacteria	Ruminococcus lactaris ATCC 29176
642791613	Bacteria	"Bacteroides coprocola M16, DSM 17136"
642791615	Bacteria	Clostridium sporogenes ATCC 15579
642791621	Bacteria	"Bacteroides intestinalis 341, DSM 17393"
642979312	Bacteria	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"
642979316	Bacteria	Desulfovibrio piger ATCC 29098
642979317	Bacteria	Providencia alcalifaciens sv. 019:H2 DSM 30120
642979318	Bacteria	Providencia rustigianii DSM 4541
642979321	Bacteria	Collinsella stercoris DSM 13279
642979323	Bacteria	Anaerococcus hydrogenalis DSM 7454
642979325	Bacteria	Helicobacter pylori HPKX_438_AG0C1
642979330	Bacteria	Helicobacter pylori 98-10
642979331	Bacteria	Helicobacter pylori B128
642979332	Bacteria	Helicobacter pylori HPKX_438_CA4C1
642979334	Bacteria	Bacteroides eggerthii DSM 20697
642979337	Bacteria	Bacteroides pectinophilus ATCC 43243
642979351	Bacteria	"Bacteroides plebeius M12, DSM 17135"
642979358	Bacteria	Parabacteroides johnsonii DSM 18315
642979359	Bacteria	Clostridium hylemonae DSM 15053
642979360	Bacteria	Holdemanella biformis DSM 3989
642979366	Bacteria	Lactobacillus rhamnosus HN001
642979369	Bacteria	Tyzzerella nexilis DSM 1787
642979370	Bacteria	Bacteroides dorei DSM 17855
642979371	Bacteria	Clostridium hiranonis TO-931 DSM 13275
643348510	Bacteria	Bacillus cereus AH187 (F4810/72)
643348513	Bacteria	Bacillus cereus G9842
