genome	domain	taxon_name
3300002442	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I2"
3300002443	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-MB"
3300002444	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-I2"
3300002445	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-I1"
3300002475	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-I4"
3300003140	*Microbiome	"Human fecal microbial communities from Washington University at St. Louis, Missouri, USA, of twins - TS29"
3300003146	*Microbiome	"Human fecal microbial communities from Washington University at St. Louis, Missouri, USA, of twins - TS28"
3300007299	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160765029 reassembly"
3300007305	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158802708 reassembly"
3300007361	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158337416 reassembly"
3300007717	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159551223 reassembly"
3300008260	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159551223 reassembly"
3300008272	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158337416 reassembly"
3300008496	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160178356 reassembly"
3300008551	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158802708 reassembly"
7000000006	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 737052003"
7000000011	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2 of subject 159753524"
7000000012	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160380657"
7000000022	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159146620"
7000000032	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2 of subject 159207311"
7000000036	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2 of subject 765074482 replicate 2"
7000000038	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160400887"
7000000040	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2 of subject 763759525"
7000000045	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159268001"
7000000053	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159591683"
7000000069	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764588959"
7000000071	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764062976"
7000000075	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764508039"
7000000077	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 686765762"
7000000081	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159632143"
7000000083	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 823052294"
7000000087	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160218816"
7000000093	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 638754422"
7000000094	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159591683"
7000000098	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158924089"
7000000100	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765135172"
7000000107	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764447348"
7000000108	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159611913"
7000000111	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765620695"
7000000112	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 158944319"
7000000122	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764811490"
7000000131	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 246515023"
7000000142	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160421117"
7000000145	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763536994"
7000000158	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764062976"
7000000171	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 706846339"
7000000172	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160765029"
7000000174	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765094712"
7000000178	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159510762"
7000000181	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765013792"
7000000184	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159611913"
7000000186	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 809635352"
7000000188	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 675950834"
7000000191	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158337416"
7000000192	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160603188"
7000000193	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764184357"
7000000200	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158802708"
7000000213	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159247771"
7000000218	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158883629"
7000000231	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763840445"
7000000232	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764285508"
7000000239	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763496533"
